quarter|time|home action|score|diff|away action
Q3|2:18|4 RATHAN-MAYES X. Defensive rebound|||33 WASHINGTON E. 2Pts FG inside paint, Lay-up missed
Q3|2:04|1 DA SILVA O. 2Pts FG inside paint, Dunk made, 4 RATHAN-MAYES X. Assist|68-60|+8|
Q3|1:52|1 DA SILVA O. Steal|||33 WASHINGTON E. Turnover, Bad pass.
Q3|1:47|4 RATHAN-MAYES X. 3PtsFG missed|||1 OSOBOR G. Defensive rebound
Q3|1:41|4 RATHAN-MAYES X. Personal foul, 2 freethrows awarded (P2,T6)|||0 DUNN-MARTIN T. Foul drawn.
Q3|1:41||||33 WASHINGTON E. Substitute out, 5 CARTER C. Substitute in
Q3|1:41||68-61|+7|0 DUNN-MARTIN T. Free Throw made 1 of 2
Q3|1:41||68-62|+6|0 DUNN-MARTIN T. Free Throw made 2 of 2
Q3|1:18|4 RATHAN-MAYES X. 3Pts FG missed.|||
Q3|1:14||||Defensive Team rebound
Q3|0:56|4 RATHAN-MAYES X. Defensive rebound|||13 BRAXTON JR K. 3PtsFG missed.
Q3|0:42|44 BALDWIN K. 2 Pts FG inside paint, Lay-up made|70-62|+8|
Q3|0:27|4 RATHAN-MAYES X. Defensive rebound|||25 BANK L. 3PtsFG missed
Q3|0:01|4 RATHAN-MAYES X. 3PtsFG missed|||0 DUNN-MARTIN T. Defensive rebound
Q3|0:00||||0 DUNN-MARTIN T. 3PtsFG missed
Q4|10:00|Starters: 1 DA SILVA O., 4 RATHAN-MAYES X., 5 GIFFEY N., 16 JOVIC S., 44 BALDWIN K.|-|-|Starters: 0 DUNN-MARTIN T., 13 BRAXTON JR K., 15 BOHANNON N., 33 WASHINGTON E., 8 CHRISTEN R.
Q4|10:00|Alternating Possession Gained|||
Q4|9:45|5 GIFFEY N. 3Pts FG missed, 1 DA SILVA O. Offensive rebound|||
Q4|9:39|5 GIFFEY N. 2Pts FG inside paint, Lay-up made, 1 DA SILVA O. Assist|72-62|+10|
Q4|9:23||72-65|+7|13 BRAXTON JR K. 3PtsFG made, 15 BOHANNON N. Assist
Q4|8:57|5 GIFFEY N. 2Pts FG outside paint, Jump shot made|74-65|+9|
Q4|8:43|1 DA SILVA O. Blocked shot, 4 RATHAN-MAYES X. Defensive rebound|||15 BOHANNON N. 2PtsFG inside paint, Lay-up blocked
Q4|8:27|16 JOVIC S. Turnover, Bad pass|||8 CHRISTEN R. Steal
