Quarter|Time|Home Action|Score|Diff|Away Action
Q2|01:49|11 VERGE JR. A. Foul drawn|||0 HORNE D. Personal foul, 2 freethrows awarded (P1,T6)
Q2|01:49|11 VERGE JR. A. Free Throw made 1 of 2|32-37|-5|
Q2|01:49|11 VERGE JR. A. Free Throw made 2 of 2|33-37|-4|
Q2|01:27|11 VERGE JR. A. Defensive rebound|||0 HORNE D. 3PtsFG missed
Q2|01:18|11 VERGE JR. A. 3PtsFG missed|||12 OSUNNIYI O. Defensive rebound
Q2|00:58|12 KUHSE T. Steal|||20 WEATHERS M. Turnover, Bad pass
Q2|00:53|11 VERGE JR. A. 2PtsFG inside paint, Lay-up missed|||12 OSUNNIYI O. Defensive rebound
Q2|00:32|5 BAMBA T. Defensive rebound|||0 HORNE D. 2PtsFG inside paint, Lay-up missed
Q2|00:26||||12 OSUNNIYI O. Personal foul, 2 free throws awarded (P2,T7)
Q2|00:26|5 BAMBA T. Foul drawn|||
Q2|00:26||||12 OSUNNIYI O. Substitute out, 15 KEBEN M. Substitute in
Q2|00:26|5 BAMBA T. Free Throw fast break made 1 of 2|34-37|-3|
Q2|00:26|5 BAMBA T. Free Throw fast break made 2 of 2|35-37|-2|
Q2|00:08||35-39|-4|20 WEATHERS M. 2PtsFG inside paint, Lay-up made
Q2|00:08|HELD C. Timeout|||
Q2|00:08||||0 HORNE D. Substitute out, 11 ERSEK E. Substitute in
Q2|00:01||||20 WEATHERS M. Personal foul, 2 free throws awarded (P2, T8)
Q2|00:01|11 VERGE JR. A. Foul drawn|||
Q2|00:01|11 VERGE JR. A. Free Throw made 1 of 2|36-39|-3|
Q2|00:01|11 VERGE JR. A. Free Throw missed 2 of 2|||
Q3|10:00|Starters: 5 BAMBA T, 10 BROWN T, 11 VERGE JR. A, 12 KUHSE T, 21 THIEMANN L.|||Starters: 00 WEATHERS M, 0 HORNE D, 6 FLOWERS M, 15 KEBEN M, 20 WEATHERS M.
Q3|10:00|Alternating Possession Gained|||
Q3|09:48|10 BROWN T. 3PtsFG missed, 10 BROWN T. Offensive rebound|||
Q3|09:30|11 VERGE JR. A. 2PtsFG outside paint, Jump shot missed|||15 KEBEN M. Defensive rebound
Q3|09:11|11 VERGE JR. A. Defensive rebound|||0 HORNE D. 2PtsFG inside paint, Jump shot missed
Q3|09:02|11 VERGE JR. A. 2PtsFG inside paint, Lay-up missed|||6 FLOWERS M. Defensive rebound
Q3|08:59|5 BAMBA T. Personal foul, 2 free throws awarded (P2,T1)|||WEATHERS M. Foul drawn
Q3|08:59||||WEATHERS M. Free Throw fast break missed 1 of 2
Q3|08:59||36-40|-4|WEATHERS M. Free Throw fast break made 2 of 2, 6 FLOWERS M. Assist
Q3|08:46|10 BROWN T. 2PtsFG outside paint, Jump shot made|38-40|-2|WEATHERS M. 2PtsFG paint, Lay-made
Q3|08:29||38-42|-4|WEATHERS M. drawn
Q3|08:01|Team Turnover, 24 seconds|||0 HORNE D. Turnover, Ball handling
Q3|07:53|5 BAMBA T. Personal foul (P3,T2)|||0 HORNE D. Personal foul, 2 freethrows awarded (P2,T1)
Q3|07:53|5 BAMBA T. Steal|||0 HORNE D. Defensive rebound
Q3|07:40|5 BAMBA T. Foul drawn|||WEATHERS M. 3PtsFG missed
Q3|07:38|5 BAMBA T. Free Throw fast break made 1 of 2|39-42|-3|0 HORNE D. Defensive rebound
Q3|07:38|5 BAMBA T. Free Throw fast break missed 2 of 2|||20 WEATHERS M. 2PtsFG fast break, Dunk made, 6 FLOWERS M. Assist
Q3|07:38|5 BAMBA T. Defensive rebound|||6 FLOWERS inside up, 20 Assist
Q3|07:25|5 BAMBA T. 2PtsFG inside paint, Lay-up missed|||Foul
Q3|07:18||39-44|-5|
Q3|06:59|11 VERGE JR. A. 2PtsFG inside paint, Lay-up made|41-44|-3|
Q3|06:59||||0 HORNE D. Personal foul, 1 freethrow awarded (P3,T2)
Q3|06:59|11 VERGE JR. A. Foul drawn|||
Q3|06:59|5 BAMBA T. Substitute out, 9 FERNER J. Substitute in|||
Q3|06:59||||6 FLOWERS M. Substitute out, 10 WILLIAMSON S. Substitute in
Q3|06:59|11 VERGE JR. A. Free Throw made 1 of 1|42-44|-2|
Q3|06:44||||15 KEBEN M. 3PtsFG missed, 10 WILLIAMSON S. Offensive rebound
Q3|06:40|11 VERGE JR. A. Blocked shot, 10 BROWN T. Defensive rebound|||10 WILLIAMSON S. 2Pts FG inside paint, Lay-up blocked
Q3|06:24|11 VERGE JR. A. 2PtsFG inside paint, Lay-up made|44-44|0|
Q3|06:04||44-46|-2|15 KEBEN M. 2PtsFG inside paint, Lay-up made, 20 WEATHERS M. Assist
Q3|05:47|21 THIEMANN L. 2Pts FG Inside paint, Dunk made, 11 VERGE JR. A. Assist|46-46|0|
Q3|05:31|12 KUHSE T. Defensive rebound|||0 HORNE D. 3PtsFG missed
Q3|05:20|11 VERGE JR. A. Turnover, Travelling|||
Q3|05:20||||0 HORNE D. Substitute out, 3 MCCLAIN K. Substitute in
Q3|05:20||||15 KEBEN M. Substitute out, 12 OSUNNIYI O. Substitute in
Q3|05:08|11 VERGE JR. A. Steal|||20 WEATHERS M. Turnover, Bad pass
Q3|05:04|21 THIEMANN L. 2Pts FG inside paint, Lay-up made, 11 VERGE JR. A. Assist|48-46|+2|
Q3|05:04|21 THIEMANN L. Foul drawn|||12 OSUNNIYI O. Personal foul, 1 free throw awarded (P3,T3)
Q3|05:04||||JANSSON D. Timeout
Q3|05:02|21 THIEMANN L. Free Throw fast break missed 1 of 1|||00 WEATHERS M. Defensive rebound
Q3|04:53|11 VERGE JR. A. Foul drawn|||12 OSUNNIYI O. Offensive foul (P4,T4)
Q3|04:38|10 BROWN T. 3PtsFG missed|||00 WEATHERS M. Defensive rebound
Q3|04:26||||WEATHERS M. 2Pts FG outside paint, Jump shot missed
Q3|04:25||||Offensive Team rebound
Q3|04:19||||3 MCCLAIN K. 3Pts FG missed, 12 OSUNNIYI O. Offensive rebound
Q3|04:15||||12 OSUNNIYI O. 2PtsFG inside paint, Tip-in missed, 12 OSUNNIYI O. Offensive rebound
Q3|04:14|21 THIEMANN L. Personal foul, 2 free throws awarded (P1,T3)|||Foul drawn 12 OSUNNIYI O.
Q3|04:14|12 KUHSE T. Substitute out, 41 PANDI L. Substitute in|||12 OSUNNIYI O. Free Throw missed 1 of 2
Q3|04:14||48-47|+1|12 OSUNNIYI O. Free Throw made 2 of 2
Q3|04:14||||WEATHERS M. Substitute out, 15 KEBEN M. Substitute in
Q3|04:14||||12 OSUNNIYI O. Substitute out, 21 SERIC M. Substitute in
Q3|04:00|11 VERGE JR. A. 2PtsFG inside paint, Lay-up missed|||21 SERIC M. Defensive rebound
Q3|03:49|11 VERGE JR. A. 2PtsFG inside paint, Lay-up missed|||
Q3|03:47|Offensive Team rebound|||
Q3|03:47|9 FERNER J. Substitute out, 14 HERKENHOFF P. Substitute in|||
Q3|03:36|41 PANDI L. 2PtsFG inside paint, Lay-up made, 11 VERGE JR. A. Assist|50-47|+3|
Q3|03:17|14 HERKENHOFF P. Defensive rebound|||21 SERIC M. 2Pts FG outside paint, Jump shot missed
Q3|02:55|21 THIEMANN L. Foul drawn|||10 WILLIAMSON S. Personal foul, 2 freethrows awarded (P2, T5)
Q3|02:55|21 THIEMANN L. Free Throw made 1 of 2, 14 HERKENHOFF P. Assist|51-47|+4|
Q3|02:55|21 THIEMANN L. Free Throw missed 2 of 2, 14 HERKENHOFF P. Offensive rebound|||
Q3|02:49|10 BROWN T. 3PtsFG missed|||10 WILLIAMSON S. Defensive rebound
Q3|02:43|41 PANDI L. Defensive rebound|||21 SERIC M. 3PtsFG missed
Q3|02:23|21 THIEMANN L. Foul drawn|||15 KEBEN M. Personal foul, 2 free throws awarded (P1, T6)
Q3|02:23|11 VERGE JR. A. Substitute out, 12 KUHSE T. Substitute in|||
Q3|02:23|21 THIEMANN L. Free Throw missed 1 of 2|||
Q3|02:23|21 THIEMANN L. Free Throw made 2 of 2, 11 VERGE JR. A. Assist|52-47|+5|
Q3|02:23|21 THIEMANN L. Substitute out, 23 DANDRIDGE M. Substitute in|||
Q3|02:23||||10 WILLIAMSON S. Substitute out, 9 ZIPSER P. Substitute in
Q3|02:09|14 HERKENHOFF P. Personal foul, 1 freethrow awarded (P4, T4)|52-49|+3|21 SERIC M. 2PtsFG inside paint, Lay-up made, 20 WEATHERS M. Assist
Q3|02:09||||21 SERIC M. Foul drawn
Q3|02:08|23 DANDRIDGE M. Defensive rebound|||21 SERIC M. Free Throw missed 1 of 1
Q3|01:49|10 BROWN T. Foul drawn|||20 WEATHERS M. Personal foul, 2 free throws awarded (P3,T7)
Q3|01:49|14 HERKENHOFF P. Substitute out, 6 VAN SLOOTEN L. Substitute in|||
Q3|01:49||||3 WEATHERS M. Substitute out, 11 ERSEK E. Substitute in
Q3|01:49|10 BROWN T. Free Throw made 1 of 2|53-49|+4|
Q3|01:49|10 BROWN T. Free Throw missed 2 of 2|||
Q3|01:47||||Defensive Team rebound
Q3|01:47|10 BROWN T. Substitute out, 5 BAMBA T. Substitute in|||
Q3|01:35|41 PANDI L. Defensive rebound|||9 ZIPSER P. 2Pts FG inside paint, Lay-up missed
Q3|01:21|41 PANDI L. Foul drawn|||11 ERSEK E. Personal foul, 1 free throw awarded (P2,T8)
Q3|01:21|41 PANDI L. Free Throw made 1 of 1|56-49|+7|
Q3|01:06|6 VAN SLOOTEN L. Steal|||9 ZIPSER P. Turnover, Ball handling
Q3|00:54|41 PANDI L. 2Pts FG inside paint, Lay-up made|58-49|+9|
Q3|00:54|41 PANDI L. Foul drawn|||15 KEBEN M. Personal foul, 1 free throw awarded (P2,T9)
Q3|00:52|41 PANDI L. Free Throw missed 1 of 1|||
Q3|00:52||||Defensive Team rebound
Q3|00:52|6 VAN SLOOTEN L. Personal foul, 2 free throws awarded (P3,T5)|||
Q3|00:52||||9 ZIPSER P. Foul drawn
